| Year 1, Spring, day 30 8:00:00 AM | evac shelter | Bayonetta began their journey into the Cataclysm.
| Year 1, Spring, day 30 4:30:02 PM | road | Installed bionic: Cranial Flashlight.
| Year 1, Spring, day 30 5:00:02 PM | road | Installed bionic: Power Storage Mk. II.
| Year 1, Spring, day 30 5:50:06 PM | road | Installed bionic: Solar Panels.
| Year 1, Spring, day 30 7:30:06 PM | road | Installed bionic: Integrated Toolset.
| Year 1, Spring, day 30 8:40:06 PM | road | Installed bionic: Intravenous Needletip.
| Year 1, Spring, day 30 9:20:06 PM | road | Installed bionic: Internal Climate Control.
| Year 1, Spring, day 30 10:40:06PM | road | Installed bionic: Linguistic Coprocessor.
| Year 1, Spring, day 31 5:13:41 AM | road | Installed bionic: Metabolic Interchange.
| Year 1, Spring, day 31 10:10:50AM | bank | Set off an alarm.
| Year 1, Spring, day 32 7:56:25 PM | road | Reached skill level 4 in fabrication.
| Year 1, Spring, day 32 8:40:43 PM | road | Reached skill level 4 in mechanics.
| Year 1, Spring, day 33 2:06:01 AM | road | Reached skill level 8 in mechanics.
| Year 1, Spring, day 33 8:12:13 PM | road | Installed bionic: Teleportation Unit.
| Year 1, Spring, day 33 11:12:15PM | road | Installed bionic: Time Dilation.
| Year 1, Spring, day 34 2:50:41 AM | road | Reached skill level 4 in trapping.
| Year 1, Spring, day 34 3:45:05 AM | field | Killed a mi-go.
| Year 1, Spring, day 34 5:50:52 AM | field | Installed bionic: Air Filtration System.
| Year 1, Spring, day 34 6:47:05 AM | field | Killed a triffid queen.
| Year 1, Spring, day 34 8:54:29 AM | forest | Worn <color_c_dark_gray>XX </color>daypack was completely destroyed.
| Year 1, Spring, day 34 8:54:33 AM | forest | Killed a triffid queen.
| Year 1, Spring, day 34 8:59:13 AM | forest | Killed a triffid queen.
| Year 1, Spring, day 34 12:18:14PM | road | Installed bionic: Probability Travel.
| Year 1, Spring, day 34 2:09:59 PM | road | Killed a jabberwock.
| Year 1, Spring, day 34 3:26:09 PM | field | Killed a mi-go.
| Year 1, Spring, day 34 3:26:38 PM | field | Killed a mi-go.
| Year 1, Spring, day 37 2:21:46 PM | forest | Young 'Electric' Sewell became hostile.
| Year 1, Spring, day 38 6:16:32 PM | field | Reached skill level 4 in tailoring.
| Year 1, Spring, day 40 11:55:13PM | camp survey | Reached skill level 4 in cooking.
| Year 1, Spring, day 42 3:44:19 AM | camp survey | Reached skill level 4 in computers.
| Year 1, Spring, day 42 8:06:23 PM | camp survey | Reached skill level 8 in fabrication.
| Year 1, Spring, day 42 10:22:06PM | camp survey | Reached skill level 4 in bartering.
| Year 1, Spring, day 43 6:46:04 AM | science lab | Installed bionic: Weather Reader.
| Year 1, Spring, day 44 8:15:42 AM | camp survey | Reached skill level 8 in cooking.
| Year 1, Spring, day 44 12:44:29PM | camp survey | Installed bionic: Soporific Induction.
| Year 1, Spring, day 44 1:34:29 PM | camp survey | Installed bionic: Thermal Dissipation.
| Year 1, Spring, day 44 11:59:53PM | science lab | Installed bionic: Precision Solderers.
| Year 1, Spring, day 45 1:09:53 AM | science lab | Installed bionic: Aero-Evaporator.
| Year 1, Spring, day 45 1:24:32 PM | camp survey | Reached skill level 4 in electronics.
| Year 1, Spring, day 45 1:34:46 PM | camp survey | Installed bionic: Alarm System.
| Year 1, Spring, day 45 1:54:46 PM | camp survey | Installed bionic: Internal Chronometer.
| Year 1, Spring, day 45 2:44:46 PM | camp survey | Installed bionic: Joint Torsion Ratchet.
| Year 1, Spring, day 45 4:04:46 PM | camp survey | Installed bionic: Ethanol Burner.
| Year 1, Spring, day 48 7:12:48 PM | camp survey | Reached skill level 8 in electronics.
| Year 1, Spring, day 50 2:49:56 AM | camp survey | Reached skill level 4 in survival.
| Year 1, Spring, day 50 7:09:41 AM | camp survey | Reached skill level 4 in cutting weapons.
| Year 1, Spring, day 50 7:55:01 PM | camp survey | Reached skill level 8 in computers.
| Year 1, Spring, day 51 12:17:35AM | camp survey | Reached skill level 8 in tailoring.
| Year 1, Spring, day 52 5:13:13 AM | field | Killed a owlbear.
| Year 1, Spring, day 63 6:08:37 AM | forest | Killed a jabberwock.
| Year 1, Spring, day 67 11:19:07AM | science lab | Installed bionic: Fingerhack.
| Year 1, Spring, day 68 6:02:45 PM | science lab | Became addicted to alcohol.
| Year 1, Spring, day 69 1:57:41 PM | field | Overcame addiction to alcohol.
| Year 1, Spring, day 72 7:04:08 PM | road | Killed a zombie bio-operator.
| Year 1, Spring, day 78 1:19:29 AM | camp survey | Installed bionic: Expanded Digestive System.
| Year 1, Spring, day 79 6:11:42 PM | dairy farm | Killed a mi-go.
| Year 1, Spring, day 79 6:16:58 PM | dairy farm | Killed a mi-go.
